BNP	B
waardevol	O
bij	O
diagnostiek	B
hartfalen	B

Nederlandse	O
en	O
Engelse	O
onderzoekers	O
bekeken	O
een	O
groep	O
van	O
276	O
patiënten	B
bij	O
wie	O
de	O
huisarts	B
hartfalen	B
vermoedde	O
.	O

Bij	O
ruim	O
30	O
%	O
was	O
hier	O
inderdaad	O
sprake	O
van	O
.	O

Het	O
klinische	B
model	O
bestond	O
uit	O
leeftijd	O
,	O
geslacht	O
,	O
bekende	O
hartvaataandoening	B
,	O
diabetes	B
,	O
orthopnoe	B
,	O
verhoogde	O
centraal	B
veneuze	I
druk	I
(	O
CVD	B
)	O
,	O
crepitaties	B
,	O
pitting	B
oedeem	I
en	O
een	O
S3	B
galop	I
.	O

Dit	O
leverde	O
een	O
c-statistic	B
op	O
(	O
een	O
maat	O
voor	O
het	O
discriminerend	B
vermogen	I
met	O
een	O
range	B
van	O
0,5	O
tot	O
1,0	O
)	O
van	O
0,78	O
.	O

Toevoeging	O
van	O
het	O
BNP-gehalte	B
deed	O
de	O
c-statistic	B
stijgen	O
naar	O
0,91	O
.	O

ECG	B
of	O
thorax	B
voegden	O
hieraan	O
niets	O
toe	O
.	O

Overigens	O
blijft	O
het	O
probleem	O
dat	O
ook	O
zeer	O
lage	O
BNP-waardes	B
(	O
BNP	B
<	O
100	O
)	O
hartfalen	B
niet	O
uitsluiten	O
.	O

