NIEUWE	O
DRESSUURPROEVEN	I
2016	O
:	O
VIJF	O
VRAGEN	O
OVER	O
DE	O
KLASSE	I
BB	I
EN	O
B	I

Op	O
1	O
april	O
2016	O
gaan	O
de	O
nieuwe	O
KNHS-dressuurproeven	I
in	O
.	O

Omdat	O
de	O
nieuwe	O
proeven	I
pas	O
op	O
1	O
maart	O
2016	O
beschikbaar	O
zijn	O
,	O
gaan	O
we	O
in	O
de	O
aankomende	O
periode	O
alvast	O
wat	O
dieper	O
in	O
op	O
alle	O
veranderingen	O
om	O
je	O
zo	O
goed	O
mogelijk	O
te	O
informeren	O
.	O

In	O
dit	O
artikel	O
zijn	O
de	O
klassen	I
BB	I
en	O
B	I
aan	O
de	O
beurt	O
.	O

De	O
andere	O
klassen	O
komen	O
uiteraard	O
ook	O
nog	O
aan	O
bod	O
.	O

In	O
'	O
Drie	O
dingen	O
die	O
je	O
wilt	O
weten	O
over	O
de	O
nieuwe	O
dressuurproeven	I
per	O
1	O
april	O
2016	O
'	O
heb	O
je	O
vast	O
al	O
gelezen	O
dat	O
er	O
een	O
nieuwe	O
klasse	I
BB	I
komt	O
en	O
dat	O
de	O
proeven	I
voor	O
de	O
klasse	I
B	I
herschreven	O
zijn	O
.	O

Dat	O
vraagt	O
om	O
een	O
nadere	O
uitleg	O
!	O

De	O
wijzigingen	O
zijn	O
samengevat	O
in	O
vijf	O
vragen	O
:	O
wat	O
is	O
de	O
nieuwe	O
klasse	I
BB	I
,	O
wat	O
is	O
het	O
verschil	O
tussen	O
BB	I
en	O
Impuls	I
,	O
wat	O
is	O
het	O
verschil	O
tussen	O
BB	I
en	O
B	I
,	O
wat	O
verandert	O
er	O
in	O
de	O
B-proeven	I
en	O
wat	O
gebeurt	O
er	O
met	O
de	O
proeven	I
voor	O
A	I
/	O
B-pony's	I
?	O

Vraag	O
1	O
:	O
Wat	O
is	O
de	O
nieuwe	O
klasse	I
BB	I
?	O

De	O
nieuwe	O
klasse	I
BB	I
is	O
een	O
laagdrempelige	O
en	O
toegankelijke	O
instapklasse	I
,	O
bedoeld	O
om	O
op	O
ongedwongen	O
wijze	O
kennis	O
te	O
maken	O
met	O
de	O
wedstrijdsport	I
en	O
wedstrijdervaring	O
op	O
te	O
doen	O
.	O

De	O
klasse	I
BB	I
is	O
niet	O
verplicht	O
.	O

Wie	O
kan	O
meedoen	O
aan	O
de	O
BB	I
?	O

Iedereen	O
die	O
lid	O
is	O
van	O
de	O
KNHS	I
kan	O
meedoen	O
aan	O
de	O
BB	I
.	O

Je	O
hebt	O
geen	O
startpas	I
nodig	O
.	O

Je	O
kunt	O
dus	O
ook	O
meedoen	O
als	O
je	O
niet	O
bij	O
een	O
vereniging	O
rijdt	I
,	O
maar	O
wel	O
een	O
FNRS	I
Ruiterpaspoort	I
,	O
KNHS	I
Menbewijs	I
of	O
KNHS	I
Ruiterbewijs	I
hebt	O
of	O
individueel	O
lid	O
bent	O
van	O
de	O
KNHS	I
.	O

Welke	O
dressuurproeven	I
rij	I
je	O
in	O
de	O
BB	I
?	O

Speciaal	O
voor	O
de	O
klasse	I
BB	I
zijn	O
twee	O
nieuwe	O
dressuurproeven	I
ontwikkeld	O
.	O

Deze	O
zijn	O
vanaf	O
1	O
maart	O
beschikbaar	O
.	O

In	O
de	O
BB-proeven	I
worden	O
alleen	O
basisoefeningen	I
gevraagd	O
,	O
zonder	O
verruimingen	I
in	O
stap	I
,	O
draf	I
of	O
galop	I
.	O

De	O
nieuwe	O
BB-proeven	I
komen	O
in	O
het	O
nieuwe	O
proevenboekje	I
én	O
in	O
de	O
nieuwe	O
dressuurproeven	I
app	O
.	O

Kun	O
je	O
in	O
de	O
BB	I
promoveren	I
en	O
/	O
of	O
prijzen	O
winnen	O
?	O

In	O
de	O
klasse	I
BB	I
worden	O
geen	O
winstpunten	I
geregistreerd	O
.	O

Er	O
is	O
dus	O
ook	O
geen	O
promotie-	I
of	O
degradatieregeling	I
.	O

Wel	O
wordt	O
er	O
een	O
klassement	O
opgemaakt	O
en	O
kun	O
je	O
prijzen	O
winnen	O
.	O

Ruiters	I
die	O
reglementair	O
niet	O
meer	O
in	O
de	O
B	I
mogen	O
starten	O
mogen	O
wel	O
meedoen	O
in	O
de	O
BB	I
,	O
maar	O
komen	O
niet	O
in	O
aanmerking	O
voor	O
prijzen	O
(	O
dat	O
heet	O
hors	I
concours	I
,	O
afgekort	O
HC	I
)	O
.	O

Wil	O
je	O
weten	O
of	O
je	O
startgerechtigd	I
bent	O
in	O
de	O
B	I
,	O
kijk	O
dan	O
in	O
de	O
inschalingstabel	O
(	O
PDF	O
)	O
die	O
bij	O
het	O
dressuurreglement	I
hoort	O
.	O

Vraag	O
2	O
:	O
Wat	O
is	O
het	O
verschil	O
tussen	O
BB	I
en	O
Impulsrubrieken	I
?	O

Het	O
eerste	O
verschil	O
tussen	O
de	O
nieuwe	O
klasse	I
BB	I
en	O
de	O
bestaande	O
Impulsrubrieken	I
is	O
dat	O
er	O
bij	O
Impulsrubrieken	I
geen	O
klassement	O
wordt	O
opgemaakt	O
en	O
geen	O
prijzen	O
worden	O
uitgereikt	O
.	O

Bij	O
de	O
klasse	I
BB	I
is	O
dat	O
wel	O
het	O
geval	O
.	O

Een	O
tweede	O
verschil	O
is	O
dat	O
er	O
andere	O
proeven	I
worden	O
gereden	I
.	O

Voor	O
de	O
BB	I
zijn	O
twee	O
nieuwe	O
proeven	I
geschreven	O
,	O
bij	O
Impuls	I
rij	I
je	O
bijvoorbeeld	O
een	O
begeleidingsproef	I
in	O
stap	I
en	O
draf	I
of	O
een	O
proefje	I
met	O
galop	I
,	O
die	O
al	O
iets	O
meer	O
op	O
een	O
BB-proef	I
lijkt	O
.	O

De	O
huidige	O
Impulsrubrieken	I
blijven	O
voorlopig	O
gewoon	O
bestaan	O
.	O

De	O
proeven	I
staan	O
als	O
PDF	O
op	O
de	O
website	O
.	O

Vraag	O
3	O
:	O
Wat	O
is	O
het	O
verschil	O
tussen	O
BB	I
en	O
B	I
?	O

Er	O
zijn	O
drie	O
belangrijke	O
verschillen	O
tussen	O
de	O
BB	I
en	O
de	O
B.	I
Ten	O
eerste	O
is	O
de	O
BB	I
een	O
niet-verplichte	O
instapklasse	I
waar	O
geen	O
winstpunten	I
worden	O
geregistreerd	O
.	O

De	O
klasse	I
B	I
is	O
een	O
officiële	O
wedstrijdklasse	I
,	O
dus	O
inclusief	O
winstpuntenregistratie	I
en	O
promotieregeling	I
.	O

Ten	O
tweede	O
heb	O
je	O
in	O
de	O
BB	I
geen	O
startpas	I
nodig	O
,	O
in	O
de	O
B	I
wel	O
.	O

Tot	O
slot	O
is	O
er	O
een	O
verschil	O
in	O
de	O
beoordeling	O
.	O

In	O
de	O
BB	I
ligt	O
de	O
nadruk	O
nog	O
vooral	O
op	O
de	O
ruiter	I
,	O
in	O
de	O
klasse	I
B	I
op	O
de	O
combinatie	I
van	O
paard	I
en	O
ruiter	I
.	O

Waar	O
let	O
de	O
jury	I
op	O
in	O
de	O
BB	I
?	O

Qua	O
beoordeling	O
zit	O
de	O
BB	I
eigenlijk	O
een	O
beetje	O
tussen	O
F-proef	I
en	O
B-proef	I
in	O
.	O

Bij	O
F-proeven	I
wordt	O
alleen	O
de	O
ruiter	I
beoordeeld	O
en	O
bij	O
B-proeven	I
de	O
combinatie	I
van	O
ruiter	I
en	O
paard	I
.	O

In	O
de	O
BB	I
is	O
het	O
daarom	O
het	O
belangrijkste	O
dat	O
het	O
paard	I
gehoorzaam	I
is	O
en	O
dat	O
de	O
ruiter	I
correcte	O
,	O
goed	O
gedoseerde	O
hulpen	I
geeft	O
.	O

Het	O
paard	I
begrijpt	O
wat	O
de	O
ruiter	I
vraagt	O
en	O
volgt	O
de	O
aanwijzingen	O
direct	O
op	O
